,Instituicao,capital,codigo_uf,ibge_id,latitude,longitude,nome
0,CEFET,0,31,3104007,-19.5902,-46.9438,Araxa
1,"['CEFET', 'IFMG']",1,31,3106200,-19.9102,-43.9266,Belo Horizonte
2,CEFET,0,31,3118601,-19.9321,-44.0539,Contagem
3,CEFET,0,31,3120904,-18.7527,-44.4303,Curvelo
4,CEFET,0,31,3122306,-20.1446,-44.8912,Divinopolis
5,CEFET,0,31,3138401,-21.5296,-42.6421,Leopoldina
6,CEFET,0,31,3144607,-21.2324,-45.235,Nepomuceno
7,CEFET,0,31,3168705,-19.5811,-42.6471,Timoteo
8,CEFET,0,31,3170701,-21.5556,-45.4364,Varginha
9,IFMG,0,31,3104205,-20.2863,-45.5373,Arcos
10,IFMG,0,31,3105103,-20.0166,-45.9754,Bambui
11,IFMG,0,31,3106705,-19.9668,-44.2008,Betim
12,IFMG,0,31,3118007,-20.4958,-43.851,Congonhas
13,IFMG,0,31,3118304,-20.6634,-43.7846,Conselheiro Lafaiete
14,IFMG,0,31,3126109,-20.4618,-45.4268,Formiga
15,IFMG,0,31,3127701,-18.8545,-41.9555,Governador Valadares
16,IFMG,0,31,3129806,-20.0252,-44.0569,Ibirite
17,IFMG,0,31,3131307,-19.4703,-42.5476,Ipatinga
18,IFMG,0,31,3131901,-20.2501,-43.8038,Itabirito
19,IFMG,0,31,3145901,-20.5263,-43.6962,Ouro Branco
20,IFMG,0,31,3146107,-20.3796,-43.512,Ouro Preto
21,IFMG,0,31,3151503,-20.4762,-45.9589,Piumhi
22,IFMG,0,31,3152105,-20.4111,-42.8978,Ponte Nova
23,IFMG,0,31,3154606,-19.7621,-44.0844,Ribeirao das Neves
24,IFMG,0,31,3156700,-19.884,-43.8263,Sabara
25,IFMG,0,31,3157807,-19.7548,-43.8497,Santa Luzia
26,IFMG,0,31,3162807,-18.548,-42.7655,Sao Joao Evangelista
27,IFNMG,0,31,3101706,-16.1785,-40.6942,Almenara
28,IFNMG,0,31,3103405,-16.8523,-42.0637,Aracuai
29,IFNMG,0,31,3104502,-15.9187,-46.1043,Arinos
30,IFNMG,0,31,3121605,-18.2413,-43.6031,Diamantina
31,IFNMG,0,31,3135100,-15.8022,-43.3132,Janauba
32,IFNMG,0,31,3135209,-15.4802,-44.3639,Januaria
33,IFNMG,0,31,3143302,-16.7282,-43.8578,Montes Claros
34,IFNMG,0,31,3151206,-17.3392,-44.934,Pirapora
35,IFNMG,0,31,3152204,-15.7404,-43.0281,Porteirinha
36,IFNMG,0,31,3157005,-16.1753,-42.2964,Salinas
37,IFNMG,0,31,3168606,-17.8595,-41.5087,Teofilo Otoni
38,IFSULDEMINAS,0,31,3114105,-22.1204,-45.1307,Carmo de Minas
39,IFSULDEMINAS,0,31,3130606,-22.3136,-46.3264,Inconfidentes
40,IFSULDEMINAS,0,31,3139003,-21.6778,-45.9219,Machado
41,IFSULDEMINAS,0,31,3144102,-21.3692,-46.5213,Muzambinho
42,IFSULDEMINAS,0,31,3147907,-20.7193,-46.609,Passos
43,IFSULDEMINAS,0,31,3151800,-21.78,-46.5692,Pocos de Caldas
44,IFSULDEMINAS,0,31,3152501,-22.2266,-45.9389,Pouso Alegre
45,IFSULDEMINAS,0,31,3169307,-21.6921,-45.2511,Tres Coracoes
46,IFSudeste,0,31,3105608,-21.2214,-43.7703,Barbacena
47,IFSudeste,0,31,3108008,-21.0329,-44.7537,Bom Sucesso
48,IFSudeste,0,31,3115300,-21.3924,-42.6896,Cataguases
49,IFSudeste,0,31,3136702,-21.7595,-43.3398,Juiz de Fora
50,IFSudeste,0,31,3139409,-20.2572,-42.028,Manhuacu
51,IFSudeste,0,31,3143906,-21.13,-42.3693,Muriae
52,IFSudeste,0,31,3155801,-21.2712,-43.1696,Rio Pomba
53,IFSudeste,0,31,3160702,-21.4634,-43.5499,Santos Dumont
54,IFSudeste,0,31,3162500,-21.1311,-44.2526,Sao Joao del Rei
55,IFSudeste,0,31,3169901,-21.1204,-42.9359,Uba
56,IFTM,0,31,3111101,-19.5382,-49.4862,Campina Verde
57,IFTM,0,31,3129509,-19.4749,-46.5474,Ibia
58,IFTM,0,31,3134202,-18.9772,-49.4639,Ituiutaba
59,IFTM,0,31,3136306,-17.7398,-46.1715,Joao Pinheiro
60,IFTM,0,31,3147006,-17.2252,-46.8711,Paracatu
61,IFTM,0,31,3148004,-18.5699,-46.5013,Patos de Minas
62,IFTM,0,31,3148103,-18.9379,-46.9934,Patrocinio
63,IFTM,0,31,3170107,-19.7472,-47.9381,Uberaba
64,IFTM,0,31,3170206,-18.9141,-48.2749,Uberlandia
