,Instituicao,capital,codigo_ibge,codigo_uf,latitude,longitude,nome
0,CEFET,0,3104007,31,-19.5902,-46.9438,Araxa
1,CEFET,1,3106200,31,-19.9102,-43.9266,Belo Horizonte
2,CEFET,0,3118601,31,-19.9321,-44.0539,Contagem
3,CEFET,0,3120904,31,-18.7527,-44.4303,Curvelo
4,CEFET,0,3122306,31,-20.1446,-44.8912,Divinopolis
5,CEFET,0,3138401,31,-21.5296,-42.6421,Leopoldina
6,CEFET,0,3144607,31,-21.2324,-45.235,Nepomuceno
7,CEFET,0,3168705,31,-19.5811,-42.6471,Timoteo
8,CEFET,0,3170701,31,-21.5556,-45.4364,Varginha
9,IFMG,0,3104205,31,-20.2863,-45.5373,Arcos
10,IFMG,0,3105103,31,-20.0166,-45.9754,Bambui
11,IFMG,1,3106200,31,-19.9102,-43.9266,Belo Horizonte
12,IFMG,0,3106705,31,-19.9668,-44.2008,Betim
13,IFMG,0,3118007,31,-20.4958,-43.851,Congonhas
14,IFMG,0,3118304,31,-20.6634,-43.7846,Conselheiro Lafaiete
15,IFMG,0,3126109,31,-20.4618,-45.4268,Formiga
16,IFMG,0,3127701,31,-18.8545,-41.9555,Governador Valadares
17,IFMG,0,3129806,31,-20.0252,-44.0569,Ibirite
18,IFMG,0,3131307,31,-19.4703,-42.5476,Ipatinga
19,IFMG,0,3131901,31,-20.2501,-43.8038,Itabirito
20,IFMG,0,3145901,31,-20.5263,-43.6962,Ouro Branco
21,IFMG,0,3146107,31,-20.3796,-43.512,Ouro Preto
22,IFMG,0,3151503,31,-20.4762,-45.9589,Piumhi
23,IFMG,0,3152105,31,-20.4111,-42.8978,Ponte Nova
24,IFMG,0,3154606,31,-19.7621,-44.0844,Ribeirao das Neves
25,IFMG,0,3156700,31,-19.884,-43.8263,Sabara
26,IFMG,0,3157807,31,-19.7548,-43.8497,Santa Luzia
27,IFMG,0,3162807,31,-18.548,-42.7655,Sao Joao Evangelista
28,IFNMG,0,3101706,31,-16.1785,-40.6942,Almenara
29,IFNMG,0,3103405,31,-16.8523,-42.0637,Aracuai
30,IFNMG,0,3104502,31,-15.9187,-46.1043,Arinos
31,IFNMG,0,3121605,31,-18.2413,-43.6031,Diamantina
32,IFNMG,0,3135100,31,-15.8022,-43.3132,Janauba
33,IFNMG,0,3135209,31,-15.4802,-44.3639,Januaria
34,IFNMG,0,3143302,31,-16.7282,-43.8578,Montes Claros
35,IFNMG,0,3151206,31,-17.3392,-44.934,Pirapora
36,IFNMG,0,3152204,31,-15.7404,-43.0281,Porteirinha
37,IFNMG,0,3157005,31,-16.1753,-42.2964,Salinas
38,IFNMG,0,3168606,31,-17.8595,-41.5087,Teofilo Otoni
39,IFSULDEMINAS,0,3114105,31,-22.1204,-45.1307,Carmo de Minas
40,IFSULDEMINAS,0,3130606,31,-22.3136,-46.3264,Inconfidentes
41,IFSULDEMINAS,0,3139003,31,-21.6778,-45.9219,Machado
42,IFSULDEMINAS,0,3144102,31,-21.3692,-46.5213,Muzambinho
43,IFSULDEMINAS,0,3147907,31,-20.7193,-46.609,Passos
44,IFSULDEMINAS,0,3151800,31,-21.78,-46.5692,Pocos de Caldas
45,IFSULDEMINAS,0,3152501,31,-22.2266,-45.9389,Pouso Alegre
46,IFSULDEMINAS,0,3169307,31,-21.6921,-45.2511,Tres Coracoes
47,IFSudeste,0,3105608,31,-21.2214,-43.7703,Barbacena
48,IFSudeste,0,3108008,31,-21.0329,-44.7537,Bom Sucesso
49,IFSudeste,0,3115300,31,-21.3924,-42.6896,Cataguases
50,IFSudeste,0,3136702,31,-21.7595,-43.3398,Juiz de Fora
51,IFSudeste,0,3139409,31,-20.2572,-42.028,Manhuacu
52,IFSudeste,0,3143906,31,-21.13,-42.3693,Muriae
53,IFSudeste,0,3155801,31,-21.2712,-43.1696,Rio Pomba
54,IFSudeste,0,3160702,31,-21.4634,-43.5499,Santos Dumont
55,IFSudeste,0,3162500,31,-21.1311,-44.2526,Sao Joao del Rei
56,IFSudeste,0,3169901,31,-21.1204,-42.9359,Uba
57,IFTM,0,3111101,31,-19.5382,-49.4862,Campina Verde
58,IFTM,0,3129509,31,-19.4749,-46.5474,Ibia
59,IFTM,0,3134202,31,-18.9772,-49.4639,Ituiutaba
60,IFTM,0,3136306,31,-17.7398,-46.1715,Joao Pinheiro
61,IFTM,0,3147006,31,-17.2252,-46.8711,Paracatu
62,IFTM,0,3148004,31,-18.5699,-46.5013,Patos de Minas
63,IFTM,0,3148103,31,-18.9379,-46.9934,Patrocinio
64,IFTM,0,3170107,31,-19.7472,-47.9381,Uberaba
65,IFTM,0,3170206,31,-18.9141,-48.2749,Uberlandia
